title,yearReleased,runtimeinmins,genre,rating
12,2017,104,"Drama, Romance            ",7.2
100,2008,116,Drama            ,8.1
366,2022,98,Drama            ,6.6
666,2010,85,Horror            ,4.8
01/02/2003,2016,103,Drama            ,6.9
#Ewankosau saranghaeyo,2015,110,Drama            ,8.5
#Jowable,2019,104,Comedy            ,5.3
#WalangForever,2015,119,"Comedy, Romance            ",7.0
#Y,2014,100,Drama            ,7.1
100 tula para kay Stella,2017,123,Romance            ,6.9
10000 Hours,2013,107,"Action, Drama, Thriller            ",7.1
1st ko si 3rd,2014,110,"Comedy, Drama, Romance            ",7.3
1st Sem,2016,90,"Comedy, Drama            ",8.6
2 Cool 2 Be 4gotten,2016,95,"Crime, Drama, Mystery            ",6.5
24/7 in Love,2012,130,"Comedy, Drama, Romance            ",6.3
3 Days of Darkness,2007,82,"Horror, Thriller            ",4.5
3pol Trobol: Huli ka Balbon!,2019,108,"Action, Comedy            ",3.2
4 Days,2016,65,Drama            ,5.0
69+1,2021,87,Comedy            ,4.5
9 Mornings,2002,100,Romance            ,7.6
A Case of Honor,1989,89,"Action, Drama, War            ",3.8
A Faraway Land,2021,101,Drama            ,5.0
A Girl and a Guy,2021,126,"Comedy, Romance            ",5.1
A Hard Day,2021,111,"Action, Thriller            ",6.8
A Is for Agustin,2019,73,Documentary            ,8.9
A Journey Home,2009,109,Drama            ,7.0
A Love Story,2007,117,"Drama, Romance            ",6.4
A Moment in Time,2013,105,"Drama, Romance            ",6.5
A Mother's Story,2011,100,Drama            ,7.4
A Portrait of the Artist as Filipino,1965,107,Drama            ,6.6
A Second Chance,2015,130,Drama            ,7.0
A Secret Affair,2012,108,Drama            ,4.9
A Very Special Love,2008,106,"Comedy, Romance            ",6.5
A.B. Normal College (Todo na 'yan! Kulang pa 'yun!),2003,115,Comedy            ,5.6
A.E.I.O.U.,1996,111,Comedy            ,2.1
Abakada... Ina,2001,108,Drama            ,6.7
Abandoned,2019,76,Horror            ,6.2
Abay Babes,2018,108,Comedy            ,7.6
Abel Villarama: Armado,1999,96,"Action, Crime            ",7.1
Aberya,2012,108,Drama            ,8.4
ABNKKBSNPLAko?!,2014,90,Comedy            ,6.9
Abomination,2018,90,"Crime, Mystery, Thriller            ",5.5
Abot kamay ang pangarap,1996,100,"Crime, Drama            ",6.2
Above the Clouds,2014,90,"Drama, Family            ",7.3
Above the War,1989,95,"Action, Comedy, War            ",4.1
Abrakadabra,1994,123,"Adventure, Comedy, Fantasy            ",6.8
Across the Crescent Moon,2017,130,"Action, Drama            ",6.2
Action Is Not Missing,1987,94,"Action, Comedy            ",4.7
Adam's Apple: Kakagat ka ba?,2012,71,Drama            ,6.8
Adan,2019,102,"Drama, Thriller            ",5.5
Adan Ronquillo: Tubong Cavite... laking Tondo,1993,90,"Action, Drama, Romance            ",5.7
Adarna: The Mythical Bird,1997,78,Animation            ,7.7
Adela,2008,88,Drama            ,7.1
Adultery,1984,100,Drama            ,7.4
Afuang: Bounty Hunter,1988,102,Action            ,7.0
Agaton & Mindy,2009,95,Drama            ,5.9
Agent X44,2007,93,"Action, Comedy            ",6.1
Aguila,1980,210,"Action, Drama, Romance            ",7.6
Aishite imasu (Mahal kita) 1941,2004,107,"Drama, Romance, War            ",7.4
Akala mo...,2002,107,"Comedy, Romance            ",4.8
Akin ang pangarap mo,1992,105,"Drama, Romance            ",8.2
Akin ka ngayong gabi,1987,94,Drama            ,1.8
Ako ... ang huhusga,1989,100,"Action, Drama            ",5.0
Ako legal wife: Mano po 4?,2005,120,"Comedy, Drama            ",5.9
Alabang Girls,1992,113,Comedy            ,3.7
Aladdin and the Adventure of All Time,2000,81,"Animation, Adventure, Family            ",3.2
Alagwa,2012,88,Drama            ,8.1
Alamat ni China Doll,2013,80,Drama            ,6.7
Alamid: Ang alamat,1998,95,"Action, Fantasy, Sci-Fi            ",6.8
Alas-dose,2001,108,"Action, Drama            ",5.7
Alfredo Lim: Batas ng Maynila,1995,120,"Action, Biography, Drama            ",5.1
Alfredo S. Lim: The Untold Story,2013,110,"Action, Biography, Drama            ",7.7
Alimuom,2018,83,"Action, Drama, Sci-Fi            ",7.0
Alimuom ng kahapon,2015,100,"Drama, Romance            ",6.2
Alipato: The Very Brief Life of an Ember,2016,88,"Crime, Drama, Thriller            ",5.8
Alipin ng tukso,2000,95,"Crime, Drama, Romance            ",7.1
Aliw,1979,115,Drama            ,7.4
Alkitrang dugo,1975,107,"Adventure, Drama, Thriller            ",6.0
All About Love,2006,118,Romance            ,7.0
All My Life,2004,110,"Drama, Romance            ",6.7
All of You,2017,103,"Drama, Romance            ",5.6
All Souls Night,2018,91,Horror            ,5.5
All You Need Is Pag-ibig,2015,116,"Drama, Family, Romance            ",6.4
Allergy in Love,2019,89,"Comedy, Romance            ",6.3
Almost a Love Story,2018,95,"Drama, Romance            ",8.5
Alone/Together,2019,103,"Drama, Romance            ",6.6
Alpha: The Right to Kill,2018,94,"Crime, Drama, Thriller            ",6.1
Altar,2007,90,Horror            ,5.6
Alter Me,2020,91,"Drama, Romance            ",5.7
Always Be My Maybe,2016,112,Romance            ,6.7
Alyas Batman en Robin,1991,129,"Action, Comedy, Crime            ",4.9
Alyas Bomba Queen,2002,90,Drama            ,8.1
Alyas Pogi: Ang pagbabalik,1999,111,"Action, Drama            ",5.4
"Ama, ina, anak",1996,110,Drama            ,7.7
Amalanhig: The Vampire Chronicles,2017,84,Horror            ,4.4
American Adobo,2001,104,"Comedy, Romance            ",4.7
American Commandos,1985,88,Action            ,3.7
Amnesia Love,2018,97,Comedy            ,6.1
Amok,2011,73,"Crime, Drama            ",7.3
Amor y muerte,2013,104,Drama            ,7.1
Amorosa: The Revenge,2012,105,Drama            ,6.1
An kubo sa kawayanan,2015,83,"Drama, Fantasy            ",5.7
